image,k,missing_rate,n_iterations,mse,psnr
imj11.jpg,30,0.1,5,208.7077167187921,24.935418539853345
imj11.jpg,30,0.1,10,209.89482235606317,24.910786352437047
imj11.jpg,30,0.1,20,209.76198529722768,24.913535761121437
imj11.jpg,30,0.1,50,209.70844593245636,24.91464438995818
imj11.jpg,30,0.3,5,446.7423385210753,21.63023247628788
imj11.jpg,30,0.3,10,233.88181790786874,24.44083900021598
imj11.jpg,30,0.3,20,231.96524410051398,24.47657442468868
imj11.jpg,30,0.3,50,233.13067182132136,24.454809456637246
imj11.jpg,30,0.5,5,1913.0200456357218,15.313608400495175
imj11.jpg,30,0.5,10,706.9118403385091,19.637151049802515
imj11.jpg,30,0.5,20,335.9963543513253,22.867457956616732
imj11.jpg,30,0.5,50,293.04151498066506,23.461512099683077
imj11.jpg,30,0.7,5,6069.584802300054,10.299213772452537
imj11.jpg,30,0.7,10,3634.2171652467778,12.52669485543008
imj11.jpg,30,0.7,20,1998.7164609271258,15.123291716465705
imj11.jpg,30,0.7,50,895.6201705176472,18.609564949807165
imj12.jpg,30,0.1,5,147.05804370677063,26.455915765544084
imj12.jpg,30,0.1,10,146.4732474418217,26.473220505078608
imj12.jpg,30,0.1,20,146.6162724998303,26.468981868472973
imj12.jpg,30,0.1,50,146.5899987193189,26.469760198205
imj12.jpg,30,0.3,5,352.8466444620043,22.65494369177295
imj12.jpg,30,0.3,10,177.84698350065713,25.63033857441862
imj12.jpg,30,0.3,20,159.6784274193901,26.0983411401908
imj12.jpg,30,0.3,50,161.69822670998687,26.04375103696762
imj12.jpg,30,0.5,5,1320.3470716245188,16.92392254299403
imj12.jpg,30,0.5,10,631.8057684111013,20.124967741552627
imj12.jpg,30,0.5,20,326.6493220775361,22.98998599668547
imj12.jpg,30,0.5,50,207.9104798548823,24.95203980105763
imj12.jpg,30,0.7,5,3408.002540627632,12.805804510114669
imj12.jpg,30,0.7,10,2361.867475066546,14.398248352711898
imj12.jpg,30,0.7,20,1652.7859274158961,15.948637544607829
imj12.jpg,30,0.7,50,1111.1779542651188,17.672967444414336
imj13.jpg,30,0.1,5,61.23345654447059,30.260915854135575
imj13.jpg,30,0.1,10,60.52279938283739,30.311613534731038
imj13.jpg,30,0.1,20,60.533476830753315,30.31084741886034
imj13.jpg,30,0.1,50,60.533469000473126,30.310847980640013
imj13.jpg,30,0.3,5,359.86265033864885,22.569435867172544
imj13.jpg,30,0.3,10,85.36103933259162,28.81820666568865
imj13.jpg,30,0.3,20,64.27187731643097,30.05059375470355
imj13.jpg,30,0.3,50,64.24692992221706,30.052279813890344
imj13.jpg,30,0.5,5,2495.7306726003267,14.158826443264982
imj13.jpg,30,0.5,10,618.5228486126695,20.217246135024183
imj13.jpg,30,0.5,20,147.431337082423,26.44490556615601
imj13.jpg,30,0.5,50,83.01124629409173,28.939434266533176
imj13.jpg,30,0.7,5,9892.268466909985,8.177844666728436
imj13.jpg,30,0.7,10,4995.4744889001695,11.145036154281902
imj13.jpg,30,0.7,20,2217.7022444469903,14.67177124859215
imj13.jpg,30,0.7,50,721.1678365816356,19.550440115177665
imj14.jpg,20,0.1,5,46.67259550108076,31.440184078410365
imj14.jpg,20,0.1,10,44.172838027956736,31.67925058048596
imj14.jpg,20,0.1,20,44.11393005761405,31.685046105865652
imj14.jpg,20,0.1,50,44.08143067684114,31.68824679630022
imj14.jpg,20,0.3,5,166.6911302010495,25.91167869661531
imj14.jpg,20,0.3,10,56.7173129480023,30.593647134372254
imj14.jpg,20,0.3,20,46.342541458345096,31.47100513738733
imj14.jpg,20,0.3,50,46.254026135686175,31.479308194164215
imj14.jpg,20,0.5,5,1077.5366623994987,17.806483052305744
imj14.jpg,20,0.5,10,261.4070372397267,23.957630859889434
imj14.jpg,20,0.5,20,91.56043389262317,28.513725187971932
imj14.jpg,20,0.5,50,69.69151832253982,29.699004345612742
imj14.jpg,20,0.7,5,5034.77178254682,11.111005713460749
imj14.jpg,20,0.7,10,2092.588835803683,14.923964568882068
imj14.jpg,20,0.7,20,755.6943917973698,19.34734161649332
imj14.jpg,20,0.7,50,239.35699179161202,24.340342428073434
imj15.jpg,20,0.1,5,57.132885416612254,30.561942028170126
imj15.jpg,20,0.1,10,57.29911424762535,30.54932452344532
imj15.jpg,20,0.1,20,57.31245395662092,30.548313567549
imj15.jpg,20,0.1,50,57.312167694801815,30.54833525956013
imj15.jpg,20,0.3,5,196.97612501110694,25.186667712763334
imj15.jpg,20,0.3,10,95.36676135262621,28.336833265879445
imj15.jpg,20,0.3,20,61.68792628713868,30.22880189703035
imj15.jpg,20,0.3,50,60.06624861812232,30.344498515328937
imj15.jpg,20,0.5,5,992.3791271703758,18.164027397397852
imj15.jpg,20,0.5,10,275.4501926641466,23.730372803903855
imj15.jpg,20,0.5,20,126.9911673827755,27.093068453475396
imj15.jpg,20,0.5,50,91.29802517694532,28.52618977244138
imj15.jpg,20,0.7,5,4234.144617158826,11.863146736083532
imj15.jpg,20,0.7,10,1946.8799056287946,15.23741198218621
imj15.jpg,20,0.7,20,846.6792701012196,18.853614341314064
imj15.jpg,20,0.7,50,387.943379441789,22.243120161767138
imj18.jpg,50,0.1,5,82.34293122340759,28.974540380231467
imj18.jpg,50,0.1,10,63.17004547785393,30.125691713128823
imj18.jpg,50,0.1,20,63.34479554011331,30.11369422170317
imj18.jpg,50,0.1,50,63.17934606493872,30.125052344215785
imj18.jpg,50,0.3,5,644.6082393625372,20.037845085175093
imj18.jpg,50,0.3,10,178.57157920534274,25.612680215251903
imj18.jpg,50,0.3,20,87.69044167964283,28.701281033287454
imj18.jpg,50,0.3,50,78.13058741355351,29.20259271365631
imj18.jpg,50,0.5,5,2602.319762573006,13.977197010064229
imj18.jpg,50,0.5,10,1129.8410699570093,17.600630034862622
imj18.jpg,50,0.5,20,477.24865456723956,21.34335648139235
imj18.jpg,50,0.5,50,200.17092668298588,25.116793611414376
imj18.jpg,50,0.7,5,6738.757080496255,9.8450055971234
imj18.jpg,50,0.7,10,4766.681478120692,11.34864228642212
imj18.jpg,50,0.7,20,3235.2164034857774,13.031770249523987
imj18.jpg,50,0.7,50,1947.9994397254945,15.234915332350472
imj2.jpg,30,0.1,5,109.81919247055922,27.72402114964499
imj2.jpg,30,0.1,10,109.69303093203281,27.729013242130232
imj2.jpg,30,0.1,20,109.72873847311783,27.727599746264758
imj2.jpg,30,0.1,50,109.73017550708784,27.727542870386518
imj2.jpg,30,0.3,5,296.5341828720338,23.410055971405935
imj2.jpg,30,0.3,10,120.72745967498211,27.31274298484157
imj2.jpg,30,0.3,20,116.74474928993813,27.45843004012508
imj2.jpg,30,0.3,50,116.27341334375564,27.475999389862537
imj2.jpg,30,0.5,5,1650.3847043331252,15.954951708994846
imj2.jpg,30,0.5,10,534.0130978377236,20.855284516878775
imj2.jpg,30,0.5,20,180.9893049100548,25.554274487378454
imj2.jpg,30,0.5,50,132.26153541315873,26.916468007821813
imj2.jpg,30,0.7,5,5839.255490282924,10.46722883117463
imj2.jpg,30,0.7,10,3379.255372625384,12.842593479236527
imj2.jpg,30,0.7,20,1750.026339858924,15.700357755134458
imj2.jpg,30,0.7,50,664.054807438112,19.908764357383784
imj20.jpg,30,0.1,5,115.20765504292764,27.515990238601518
imj20.jpg,30,0.1,10,89.30633616928124,28.62198088253318
imj20.jpg,30,0.1,20,88.75818799716565,28.648719333609456
imj20.jpg,30,0.1,50,88.85925483989267,28.643776938748257
imj20.jpg,30,0.3,5,383.8814660912392,22.288832161081714
imj20.jpg,30,0.3,10,191.14272830571713,25.317225801805158
imj20.jpg,30,0.3,20,135.19817683483853,26.82109525740902
imj20.jpg,30,0.3,50,97.21759822129863,28.2533547332216
imj20.jpg,30,0.5,5,1296.2569978086663,17.00389246937362
imj20.jpg,30,0.5,10,640.0892777836932,20.068398085328873
imj20.jpg,30,0.5,20,375.41950499617883,22.385635281389167
imj20.jpg,30,0.5,50,239.5171372231957,24.337437686488226
imj20.jpg,30,0.7,5,3710.8910727968696,12.436021543438496
imj20.jpg,30,0.7,10,2345.9096343747788,14.427690820092234
imj20.jpg,30,0.7,20,1528.6641323654917,16.287682851896808
imj20.jpg,30,0.7,50,1032.4665754068114,17.992043599596638
imj3.jpg,50,0.1,5,127.0813182044256,27.08998649787251
imj3.jpg,50,0.1,10,111.3502540939955,27.66389148465126
imj3.jpg,50,0.1,20,111.57597512158499,27.65509669809092
imj3.jpg,50,0.1,50,111.55865712196126,27.655770830260693
imj3.jpg,50,0.3,5,913.6280675241018,18.52310927821218
imj3.jpg,50,0.3,10,294.02193385055153,23.447006311532185
imj3.jpg,50,0.3,20,147.02039814643732,26.457027663383798
imj3.jpg,50,0.3,50,132.09440770955106,26.921959289633953
imj3.jpg,50,0.5,5,3311.700704072749,12.930292804733924
imj3.jpg,50,0.5,10,1576.1199422936616,16.154910967662737
imj3.jpg,50,0.5,20,757.256290286468,19.338374713022954
imj3.jpg,50,0.5,50,341.57881896591897,22.7958942827548
imj3.jpg,50,0.7,5,8206.263782672011,8.98934888022825
imj3.jpg,50,0.7,10,5958.977398076596,10.379086226841423
imj3.jpg,50,0.7,20,4242.485164022298,11.854600286040696
imj3.jpg,50,0.7,50,2878.6064276857905,13.538980700671308
imj4.jpg,30,0.1,5,124.05266081403327,27.194742769476395
imj4.jpg,30,0.1,10,122.48595823837853,27.249940567316578
imj4.jpg,30,0.1,20,122.37402501677062,27.253911161713088
imj4.jpg,30,0.1,50,122.39894081981964,27.25302701212763
imj4.jpg,30,0.3,5,216.93284217017893,24.767550546187987
imj4.jpg,30,0.3,10,163.00411149050817,26.008818020153598
imj4.jpg,30,0.3,20,134.7099342179246,26.836807368083218
imj4.jpg,30,0.3,50,127.94247536574754,27.060656118969874
imj4.jpg,30,0.5,5,433.27858430136854,21.76313137214546
imj4.jpg,30,0.5,10,331.9071583583559,22.920637417765448
imj4.jpg,30,0.5,20,262.9642081345186,23.93183719859077
imj4.jpg,30,0.5,50,201.68455186025224,25.084077264071674
imj4.jpg,30,0.7,5,762.879785759062,19.306242534435093
imj4.jpg,30,0.7,10,645.5792636583557,20.031307886944525
imj4.jpg,30,0.7,20,566.8884722110112,20.595827352511684
imj4.jpg,30,0.7,50,502.7594882529138,21.117200853644228
imj5.jpg,30,0.1,5,58.5423415947863,30.456102713769653
imj5.jpg,30,0.1,10,43.6269506019645,31.733255027521086
imj5.jpg,30,0.1,20,43.136707214746124,31.782333701487772
imj5.jpg,30,0.1,50,43.22495174977123,31.77345843706677
imj5.jpg,30,0.3,5,308.45525078840313,23.238881932938465
imj5.jpg,30,0.3,10,90.51089641826263,28.563794947073543
imj5.jpg,30,0.3,20,61.07595301178685,30.27210108562082
imj5.jpg,30,0.3,50,53.45356820639351,30.851036597305303
imj5.jpg,30,0.5,5,1480.530877795376,16.426628914483643
imj5.jpg,30,0.5,10,509.71721596442376,21.05751058509177
imj5.jpg,30,0.5,20,197.3208048617396,25.17907482608623
imj5.jpg,30,0.5,50,91.13305500229568,28.534044317400237
imj5.jpg,30,0.7,5,5013.241291115208,11.129617528281697
imj5.jpg,30,0.7,10,2889.908374255673,13.521962873798659
imj5.jpg,30,0.7,20,1551.7001858692959,16.222725487143517
imj5.jpg,30,0.7,50,738.5599053644338,19.446946337127436
imj6.jpg,20,0.1,5,194.50174519110092,25.241568584274454
imj6.jpg,20,0.1,10,195.04067960961854,25.22955159313287
imj6.jpg,20,0.1,20,195.06224002275027,25.22907153682009
imj6.jpg,20,0.1,50,195.06239514187035,25.229068083186466
imj6.jpg,20,0.3,5,323.97785790175334,23.025650312776115
imj6.jpg,20,0.3,10,201.69601071549846,25.083830523496378
imj6.jpg,20,0.3,20,200.09257510337696,25.118493874313955
imj6.jpg,20,0.3,50,199.6683683505472,25.12771091885557
imj6.jpg,20,0.5,5,1493.7595776816381,16.38799657959162
imj6.jpg,20,0.5,10,491.2068159168673,21.218159764836848
imj6.jpg,20,0.5,20,249.69635611489505,24.156681562447993
imj6.jpg,20,0.5,50,224.40631181446787,24.620452928308296
imj6.jpg,20,0.7,5,5558.242614713479,10.681428612600108
imj6.jpg,20,0.7,10,2773.338208833329,13.700775258109534
imj6.jpg,20,0.7,20,1266.2490817037033,17.10561217454092
imj6.jpg,20,0.7,50,492.386223798706,21.207744673232934
imj7.jpg,10,0.1,5,25.47595591317555,34.06949872211876
imj7.jpg,10,0.1,10,24.765659949229313,34.1923045542245
imj7.jpg,10,0.1,20,24.392366218641175,34.2582642911287
imj7.jpg,10,0.1,50,24.368887876292344,34.26244651141961
imj7.jpg,10,0.3,5,33.39212349588356,32.89436322968956
imj7.jpg,10,0.3,10,26.163685085928286,33.95381447677005
imj7.jpg,10,0.3,20,25.88000238681224,34.0011604881795
imj7.jpg,10,0.3,50,26.02726124055496,33.97651889673456
imj7.jpg,10,0.5,5,84.83220109329653,28.845196253259736
imj7.jpg,10,0.5,10,48.67854638176519,31.25742759835024
imj7.jpg,10,0.5,20,36.80122692369747,32.47218062919689
imj7.jpg,10,0.5,50,32.22329202934025,33.04910453675385
imj7.jpg,10,0.7,5,258.6866382711767,24.003063638288346
imj7.jpg,10,0.7,10,176.04077168727014,25.67467097212014
imj7.jpg,10,0.7,20,129.55325411615908,27.00632034808573
imj7.jpg,10,0.7,50,90.40236182945907,28.569005839754876
imj8.jpg,30,0.1,5,72.44882454598533,29.530490172626983
imj8.jpg,30,0.1,10,70.547555643943,29.645983901019658
imj8.jpg,30,0.1,20,70.80070433935762,29.630427827095698
imj8.jpg,30,0.1,50,70.93966761175744,29.621912116166463
imj8.jpg,30,0.3,5,337.94626012734705,22.842327161693078
imj8.jpg,30,0.3,10,91.97713841470576,28.494004671545174
imj8.jpg,30,0.3,20,81.04565572498647,29.043506204647635
imj8.jpg,30,0.3,50,81.8357973545775,29.001370426147037
imj8.jpg,30,0.5,5,2538.713492676256,14.08466669671492
imj8.jpg,30,0.5,10,551.2055882786107,20.717667489453703
imj8.jpg,30,0.5,20,159.69083140805515,26.09800378875921
imj8.jpg,30,0.5,50,120.40654054125405,27.32430282219986
imj8.jpg,30,0.7,5,10781.99206937215,7.803813528178063
imj8.jpg,30,0.7,10,5232.9235382914385,10.94335971845942
imj8.jpg,30,0.7,20,2061.0742158718776,14.989867305815084
imj8.jpg,30,0.7,50,687.0892294407794,19.76067220114949
imj9.jpg,50,0.1,5,107.97013156623989,27.79776730288546
imj9.jpg,50,0.1,10,79.82458456336583,29.109436938795067
imj9.jpg,50,0.1,20,80.07055479280733,29.096075232109953
imj9.jpg,50,0.1,50,80.04537978754219,29.09744091329431
imj9.jpg,50,0.3,5,795.9906206141878,19.12172410516549
imj9.jpg,50,0.3,10,284.46954567851276,23.59044581707011
imj9.jpg,50,0.3,20,126.89096060158968,27.096496757367735
imj9.jpg,50,0.3,50,92.85215352569607,28.452883800567257
imj9.jpg,50,0.5,5,2239.2728267436564,14.629733508391611
imj9.jpg,50,0.5,10,1348.8090568318098,16.83129887425564
imj9.jpg,50,0.5,20,764.4855968716689,19.297110532753344
imj9.jpg,50,0.5,50,330.3150665486395,22.941519773984034
imj9.jpg,50,0.7,5,4443.446420661099,11.653604130805157
imj9.jpg,50,0.7,10,3634.6493968685986,12.526178362777813
imj9.jpg,50,0.7,20,3006.3175376789013,13.350455105057462
imj9.jpg,50,0.7,50,2385.736417828556,14.354579008319721
