image,missing_rate,mse,psnr
imj11.jpg,0.1,2996.896673453507,13.364085912030628
imj11.jpg,0.3,2995.8053812658713,13.365667643196788
imj11.jpg,0.5,2993.9578040130236,13.368346856402484
imj11.jpg,0.7,2987.5871459432037,13.37759778643846
imj12.jpg,0.1,2532.7573524331638,14.094867761097685
imj12.jpg,0.3,2533.777672716266,14.093118559828905
imj12.jpg,0.5,2533.007281877665,14.09443922567792
imj12.jpg,0.7,2527.9961805046264,14.103039474233135
imj13.jpg,0.1,1831.8992086804087,15.501787858145184
imj13.jpg,0.3,1838.6910346901145,15.485716023760062
imj13.jpg,0.5,1834.199289148599,15.496338400707398
imj13.jpg,0.7,1833.0020294032888,15.499174150774547
imj14.jpg,0.1,2461.940914982698,14.218027349390995
imj14.jpg,0.3,2477.914777116199,14.189939952542712
imj14.jpg,0.5,2471.1871963620106,14.201747157217046
imj14.jpg,0.7,2467.4642660359,14.208294889591837
imj15.jpg,0.1,3936.5489523837787,12.179647044502266
imj15.jpg,0.3,3949.2713245595382,12.165633890176279
imj15.jpg,0.5,3958.8768081733797,12.155083732260707
imj15.jpg,0.7,3946.3106947767747,12.168890864101005
imj18.jpg,0.1,1874.7390369950888,15.401395382338949
imj18.jpg,0.3,1861.7709795711055,15.431541044297814
imj18.jpg,0.5,1860.8864868426758,15.4336047867825
imj18.jpg,0.7,1856.7406469749608,15.44329115961651
imj2.jpg,0.1,4153.950591339496,11.94619034301047
imj2.jpg,0.3,4132.927929604243,11.968225287892238
imj2.jpg,0.5,4146.8498272055585,11.953620526311791
imj2.jpg,0.7,4154.329536249911,11.945794175136673
imj20.jpg,0.1,2104.3247395185745,14.899675998641866
imj20.jpg,0.3,2098.060978260793,14.912622544472974
imj20.jpg,0.5,2098.047673660713,14.912650084819889
imj20.jpg,0.7,2093.5209622896914,14.922030470563941
imj3.jpg,0.1,1697.3075082195223,15.833198284946516
imj3.jpg,0.3,1691.293651269594,15.848613422388047
imj3.jpg,0.5,1692.507237045145,15.845498264932678
imj3.jpg,0.7,1692.9871453217918,15.844267003000304
imj4.jpg,0.1,1085.6889516362996,17.773749425553873
imj4.jpg,0.3,1078.5774260520361,17.802290343313313
imj4.jpg,0.5,1087.9745519987828,17.764616236452316
imj4.jpg,0.7,1089.8799344047936,17.757017039342106
imj5.jpg,0.1,3641.5887799822176,12.517894585819104
imj5.jpg,0.3,3600.0085067767,12.567768338667857
imj5.jpg,0.5,3613.80879582981,12.551151902613586
imj5.jpg,0.7,3612.6843856660093,12.552503388379119
imj6.jpg,0.1,5695.249922261419,10.575675740721941
imj6.jpg,0.3,5685.104767661086,10.583418883968672
imj6.jpg,0.5,5682.887236243696,10.5851132230743
imj6.jpg,0.7,5693.348788432286,10.57712570302195
imj7.jpg,0.1,326.3205179247096,22.994359792610513
imj7.jpg,0.3,330.8932500733528,22.933924528370856
imj7.jpg,0.5,339.9882347062558,22.81616472327299
imj7.jpg,0.7,351.5887751365626,22.670453595801362
imj8.jpg,0.1,3411.174691687894,12.801763999790115
imj8.jpg,0.3,3399.623995039087,12.816494749756068
imj8.jpg,0.5,3379.68114080809,12.842046325783622
imj8.jpg,0.7,3371.5021989559414,12.852569136002849
imj9.jpg,0.1,3253.3331977478983,13.007518160204734
imj9.jpg,0.3,3239.4630206091565,13.026073341531806
imj9.jpg,0.5,3237.2562246120856,13.02903286262579
imj9.jpg,0.7,3238.8274563046707,13.026925486313525
